"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 14:15:29 CST 2026","Tue Mar 03 14:15:29 CST 2026","226","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_withdraw[TC-FIN-007_\u63d0\u73b0\u6210\u529f]","测试用户提现接口的各种场景"
"passed","Tue Mar 03 14:15:31 CST 2026","Tue Mar 03 14:15:31 CST 2026","81","testcase.test_product","test_product_api","TestProductAPI","","","test_product_detail[TC-PROD-010_\u516c\u5f00\u8bbf\u95ee]","测试获取商品详情接口的各种场景"
"passed","Tue Mar 03 14:13:45 CST 2026","Tue Mar 03 14:13:46 CST 2026","376","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-002_\u62d2\u7edd\u5fc3\u613f]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 14:13:41 CST 2026","Tue Mar 03 14:13:41 CST 2026","90","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_list[TC-ADMIN-005_\u53c2\u6570\u5f02\u5e38-\u65e0\u6548\u7c7b\u578b]","测试管理员获取商品管理数据"
"failed","Tue Mar 03 14:13:46 CST 2026","Tue Mar 03 14:13:46 CST 2026","156","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-004_action\u4e3a\u7a7a]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 14:15:42 CST 2026","Tue Mar 03 14:15:42 CST 2026","236","testcase.test_product","test_product_api","TestProductAPI","","","test_bought_products[TC-PROD-020_\u6210\u529f\u83b7\u53d6]","测试获取我购买的商品列表接口"
"failed","Tue Mar 03 14:13:40 CST 2026","Tue Mar 03 14:13:40 CST 2026","224","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_audit[TC-ADMIN-008_\u65e0\u6548\u64cd\u4f5c]","测试管理员审核用户的各种场景"
"failed","Tue Mar 03 14:14:07 CST 2026","Tue Mar 03 14:14:08 CST 2026","1228","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_get_credit_score[TC-CREDIT-002_\u672a\u767b\u5f55\u7528\u6237]","测试获取信用分接口的各种场景"
"passed","Tue Mar 03 14:15:37 CST 2026","Tue Mar 03 14:15:38 CST 2026","647","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-018_\u5f85\u5ba1\u6838\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"failed","Tue Mar 03 14:13:41 CST 2026","Tue Mar 03 14:13:42 CST 2026","362","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-010_\u901a\u8fc7\u5546\u54c1]","测试管理员审核商品的各种场景"
